player,team,week,global_index
Joe Burrow,Cincinnati Bengals,W3,35.931868775482705
JaMarr Chase,Cincinnati Bengals,W3,57.416216095270755
Tee Higgins,Cincinnati Bengals,W3,54.0313973375267
Trey Hendrickson,Cincinnati Bengals,W3,45.57083250686399
Evan McPherson,Cincinnati Bengals,W3,64.26855852305526
Daniel Jones,Indianapolis Colts,W3,45.50259964439498
Jonathan Taylor,Indianapolis Colts,W3,62.912636576343914
Michael Pittman Jr,Indianapolis Colts,W3,64.10469024727627
Quenton Nelson,Indianapolis Colts,W3,40.06853559247192
Laiatu Latu,Indianapolis Colts,W3,37.21618610844166
Patrick Mahomes,Kansas City Chiefs,W3,55.07866849736477
Travis Kelce,Kansas City Chiefs,W3,42.513954948071074
Xavier Worthy,Kansas City Chiefs,W3,40.26945460347318
Caleb Williams,Kansas City Chiefs,W3,47.165894357423994
DJ Moore,Kansas City Chiefs,W3,62.030917409022514
Keenan Allen,Chicago Bears,W3,60.69838097391459
Rome Odunze,Chicago Bears,W3,79.68164053031033
Jaylon Johnson,Chicago Bears,W3,72.9613787323742
Baker Mayfield,Chicago Bears,W3,82.2196692827927
Mike Evans,Chicago Bears,W3,55.53936191905019
Chris Godwin,Tampa Bay Buccaneers,W3,65.59759256834576
Antoine Winfield Jr,Tampa Bay Buccaneers,W3,73.39386538592478
Vita Vea,Tampa Bay Buccaneers,W3,71.53418136119427
Sam Darnold,Tampa Bay Buccaneers,W3,84.24549449282549
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W3,84.66133246747442
Tariq Woolen,Seattle Seahawks,W3,58.024000754224275
Kenneth Walker III,Seattle Seahawks,W3,67.92287349199337
Devon Witherspoon,Seattle Seahawks,W3,54.47236114034978
Dak Prescott,Seattle Seahawks,W3,39.05421653259747
CeeDee Lamb,Seattle Seahawks,W3,34.13675696711455
Javonte Williams,Dallas Cowboys,W3,47.559699466009484
George Pickens,Dallas Cowboys,W3,50.679261001940304
Drake Maye,Dallas Cowboys,W3,87.17808822900793
TreVeyon Henderson,Dallas Cowboys,W3,59.50156778107001
Stefon Diggs,Dallas Cowboys,W3,68.40978773527122
Christian Gonzalez,New England Patriots,W3,56.981658692935454
Kayshon Boutte,New England Patriots,W3,53.603182669375954
Quinnen Williams,New England Patriots,W3,47.67940232655838
Chris Jones,New England Patriots,W3,43.48935400898428
Trent McDuffie,New England Patriots,W3,42.41970359350496
Jalen Hurts,Philadelphia Eagles,W4,27.495151645198092
Saquon Barkley,Philadelphia Eagles,W4,27.093904047065628
AJ Brown,Philadelphia Eagles,W4,33.70128089680671
Quinyon Mitchell,Philadelphia Eagles,W4,57.13029315358644
Zack Baun,Philadelphia Eagles,W4,56.96024630917692
Josh Allen,Buffalo Bills,W4,27.031928175854944
James Cook,Buffalo Bills,W4,37.418038058661516
Dalton Kincaid,Buffalo Bills,W4,38.06691614605338
Matt Milano,Buffalo Bills,W4,18.245730588895412
Greg Rousseau,Buffalo Bills,W4,7.873975493125663
Joe Burrow,Cincinnati Bengals,W4,25.459101426470223
JaMarr Chase,Cincinnati Bengals,W4,21.094665414813644
Tee Higgins,Cincinnati Bengals,W4,27.264944985644256
Trey Hendrickson,Cincinnati Bengals,W4,29.50862138037257
Evan McPherson,Cincinnati Bengals,W4,41.138634305502876
Daniel Jones,Indianapolis Colts,W4,47.22942761447069
Jonathan Taylor,Indianapolis Colts,W4,43.13840663678
Michael Pittman Jr,Indianapolis Colts,W4,70.17136844748458
Quenton Nelson,Indianapolis Colts,W4,65.12117227831934
Laiatu Latu,Indianapolis Colts,W4,76.99142286709301
Patrick Mahomes,Kansas City Chiefs,W4,61.65593489739924
Travis Kelce,Kansas City Chiefs,W4,84.98073686300349
Xavier Worthy,Kansas City Chiefs,W4,81.51590582618103
Caleb Williams,Kansas City Chiefs,W4,61.356982195952604
DJ Moore,Kansas City Chiefs,W4,54.94023986599382
Keenan Allen,Chicago Bears,W4,39.55753967456882
Rome Odunze,Chicago Bears,W4,77.31224346119258
Jaylon Johnson,Chicago Bears,W4,76.47285546059864
Baker Mayfield,Chicago Bears,W4,62.147639229468794
Mike Evans,Chicago Bears,W4,55.03257152705541
Chris Godwin,Tampa Bay Buccaneers,W4,28.18368582399881
Antoine Winfield Jr,Tampa Bay Buccaneers,W4,27.258673750284956
Vita Vea,Tampa Bay Buccaneers,W4,24.00219411842914
Sam Darnold,Tampa Bay Buccaneers,W4,28.50052280992835
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W4,32.7205202025015
Tariq Woolen,Seattle Seahawks,W4,27.25021833131097
Kenneth Walker III,Seattle Seahawks,W4,34.13674235001783
Devon Witherspoon,Seattle Seahawks,W4,43.21994044418588
Dak Prescott,Seattle Seahawks,W4,52.8357431732324
CeeDee Lamb,Seattle Seahawks,W4,27.631560429743896
Javonte Williams,Dallas Cowboys,W4,74.8627603401421
George Pickens,Dallas Cowboys,W4,74.14351199925581
Drake Maye,Dallas Cowboys,W4,82.77699242262358
TreVeyon Henderson,Dallas Cowboys,W4,70.61598152864647
Stefon Diggs,Dallas Cowboys,W4,82.8434047319191
Christian Gonzalez,New England Patriots,W4,64.97187540029954
Kayshon Boutte,New England Patriots,W4,40.42101385765507
Quinnen Williams,New England Patriots,W4,39.685157699753105
Chris Jones,New England Patriots,W4,48.0558015506266
Trent McDuffie,New England Patriots,W4,36.874880366424655
Jalen Hurts,Philadelphia Eagles,W5,54.19969561935443
Saquon Barkley,Philadelphia Eagles,W5,48.05050096280689
AJ Brown,Philadelphia Eagles,W5,51.26926295980057
Quinyon Mitchell,Philadelphia Eagles,W5,54.39111520242223
Zack Baun,Philadelphia Eagles,W5,42.12063197076634
Josh Allen,Buffalo Bills,W5,57.9546850709238
James Cook,Buffalo Bills,W5,51.78655242462793
Dalton Kincaid,Buffalo Bills,W5,65.38461225605943
Matt Milano,Buffalo Bills,W5,66.39126369196526
Greg Rousseau,Buffalo Bills,W5,70.62107731276215
Joe Burrow,Cincinnati Bengals,W5,42.883349736889144
JaMarr Chase,Cincinnati Bengals,W5,40.14735677623016
Tee Higgins,Cincinnati Bengals,W5,36.76355265504152
Trey Hendrickson,Cincinnati Bengals,W5,36.370710396017834
Evan McPherson,Cincinnati Bengals,W5,48.18724338782135
Daniel Jones,Indianapolis Colts,W5,57.70102170753881
Jonathan Taylor,Indianapolis Colts,W5,72.70562380433356
Michael Pittman Jr,Indianapolis Colts,W5,73.57510586216264
Quenton Nelson,Indianapolis Colts,W5,73.01389099876523
Laiatu Latu,Indianapolis Colts,W5,66.10784782890363
Patrick Mahomes,Kansas City Chiefs,W5,62.23492055861465
Travis Kelce,Kansas City Chiefs,W5,62.841728578382444
Xavier Worthy,Kansas City Chiefs,W5,61.96524078566223
Caleb Williams,Kansas City Chiefs,W5,62.06698969454517
DJ Moore,Kansas City Chiefs,W5,56.82892188491826
Keenan Allen,Chicago Bears,W5,57.62162151520489
Rome Odunze,Chicago Bears,W5,61.36545618724338
Jaylon Johnson,Chicago Bears,W5,59.29073657972566
Baker Mayfield,Chicago Bears,W5,66.80470762261272
Mike Evans,Chicago Bears,W5,62.32963544666227
Chris Godwin,Tampa Bay Buccaneers,W5,46.813575236113806
Antoine Winfield Jr,Tampa Bay Buccaneers,W5,32.589404271124394
Vita Vea,Tampa Bay Buccaneers,W5,44.715089664249845
Sam Darnold,Tampa Bay Buccaneers,W5,50.45119256237628
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W5,53.70443275003757
Tariq Woolen,Seattle Seahawks,W5,63.458618149658875
Kenneth Walker III,Seattle Seahawks,W5,62.18149639822194
Devon Witherspoon,Seattle Seahawks,W5,57.38143534960571
Dak Prescott,Seattle Seahawks,W5,57.68093365130092
CeeDee Lamb,Seattle Seahawks,W5,63.64446645258858
Javonte Williams,Dallas Cowboys,W5,72.84365289032601
George Pickens,Dallas Cowboys,W5,76.11946680534
Drake Maye,Dallas Cowboys,W5,74.15323760969935
TreVeyon Henderson,Dallas Cowboys,W5,58.06733591634245
Stefon Diggs,Dallas Cowboys,W5,67.191398508082
Christian Gonzalez,New England Patriots,W5,86.0805549578701
Kayshon Boutte,New England Patriots,W5,69.16703899986622
Quinnen Williams,New England Patriots,W5,79.82124269275072
Chris Jones,New England Patriots,W5,36.08055495787012
Trent McDuffie,New England Patriots,W5,67.89150609750351
Jalen Hurts,Philadelphia Eagles,W6,19.82169287337983
Saquon Barkley,Philadelphia Eagles,W6,17.867128831730895
AJ Brown,Philadelphia Eagles,W6,13.149064329902231
Quinyon Mitchell,Philadelphia Eagles,W6,5.21925364878139
Zack Baun,Philadelphia Eagles,W6,19.892001983206733
Josh Allen,Buffalo Bills,W6,34.56744506765307
James Cook,Buffalo Bills,W6,32.466344572645184
Dalton Kincaid,Buffalo Bills,W6,42.037849254686705
Matt Milano,Buffalo Bills,W6,38.5697592009951
Greg Rousseau,Buffalo Bills,W6,42.97579204843652
Joe Burrow,Cincinnati Bengals,W6,27.374414689718428
JaMarr Chase,Cincinnati Bengals,W6,40.92866640754412
Tee Higgins,Cincinnati Bengals,W6,47.818636562521355
Trey Hendrickson,Cincinnati Bengals,W6,37.2440803364564
Evan McPherson,Cincinnati Bengals,W6,42.451331652274256
Daniel Jones,Indianapolis Colts,W6,54.710905881807705
Jonathan Taylor,Indianapolis Colts,W6,63.59034230780773
Michael Pittman Jr,Indianapolis Colts,W6,53.746175274001715
Quenton Nelson,Indianapolis Colts,W6,61.46286843899715
Laiatu Latu,Indianapolis Colts,W6,56.635116601522924
Patrick Mahomes,Kansas City Chiefs,W6,23.25952489644234
Travis Kelce,Kansas City Chiefs,W6,15.42664387633303
Xavier Worthy,Kansas City Chiefs,W6,38.67668351125633
Caleb Williams,Kansas City Chiefs,W6,32.635802775341986
DJ Moore,Kansas City Chiefs,W6,25.884383473183117
Keenan Allen,Chicago Bears,W6,42.56889126905524
Rome Odunze,Chicago Bears,W6,44.66604287423074
Jaylon Johnson,Chicago Bears,W6,47.716107486521494
Baker Mayfield,Chicago Bears,W6,53.25453803607732
Mike Evans,Chicago Bears,W6,48.819726718751134
Chris Godwin,Tampa Bay Buccaneers,W6,45.688060066263134
Antoine Winfield Jr,Tampa Bay Buccaneers,W6,54.51101478809624
Vita Vea,Tampa Bay Buccaneers,W6,47.35516613230452
Sam Darnold,Tampa Bay Buccaneers,W6,63.73482938936408
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W6,57.82935903702876
Tariq Woolen,Seattle Seahawks,W6,37.4108642192114
Kenneth Walker III,Seattle Seahawks,W6,41.22463716323502
Devon Witherspoon,Seattle Seahawks,W6,39.427137520492444
Dak Prescott,Seattle Seahawks,W6,41.082228353786874
CeeDee Lamb,Seattle Seahawks,W6,49.490917989382254
Javonte Williams,Dallas Cowboys,W6,44.03057545358564
George Pickens,Dallas Cowboys,W6,40.439924397199356
Drake Maye,Dallas Cowboys,W6,48.569551387048485
TreVeyon Henderson,Dallas Cowboys,W6,47.160154034320946
Stefon Diggs,Dallas Cowboys,W6,35.83638492200568
Christian Gonzalez,New England Patriots,W6,39.92472625049633
Kayshon Boutte,New England Patriots,W6,78.3789514231712
Quinnen Williams,New England Patriots,W6,49.38687426862345
Chris Jones,New England Patriots,W6,29.103246048540477
Trent McDuffie,New England Patriots,W6,50.28195638929631
Jalen Hurts,Philadelphia Eagles,W7,61.149378411373064
Saquon Barkley,Philadelphia Eagles,W7,55.75668856745331
AJ Brown,Philadelphia Eagles,W7,78.98079120648286
Quinyon Mitchell,Philadelphia Eagles,W7,61.29456954593306
Zack Baun,Philadelphia Eagles,W7,62.83296381552242
Josh Allen,Buffalo Bills,W7,50.852336870860256
James Cook,Buffalo Bills,W7,58.75958693538915
Dalton Kincaid,Buffalo Bills,W7,59.17923385308403
Matt Milano,Buffalo Bills,W7,55.48165588776378
Greg Rousseau,Buffalo Bills,W7,58.43799542533375
Joe Burrow,Cincinnati Bengals,W7,58.328787119360705
JaMarr Chase,Cincinnati Bengals,W7,74.1840509220838
Tee Higgins,Cincinnati Bengals,W7,72.11367755712646
Trey Hendrickson,Cincinnati Bengals,W7,65.28196726649091
Evan McPherson,Cincinnati Bengals,W7,74.17311128495342
Daniel Jones,Indianapolis Colts,W7,49.46880876410985
Jonathan Taylor,Indianapolis Colts,W7,66.47538690853759
Michael Pittman Jr,Indianapolis Colts,W7,58.514779279904985
Quenton Nelson,Indianapolis Colts,W7,67.69573879047849
Laiatu Latu,Indianapolis Colts,W7,55.96699243229813
Patrick Mahomes,Kansas City Chiefs,W7,62.35561104274991
Travis Kelce,Kansas City Chiefs,W7,61.55265274529725
Xavier Worthy,Kansas City Chiefs,W7,42.300983091293546
Caleb Williams,Kansas City Chiefs,W7,52.71302656114753
DJ Moore,Kansas City Chiefs,W7,56.06155845866533
Keenan Allen,Chicago Bears,W7,48.71429844620405
Rome Odunze,Chicago Bears,W7,51.588020674635445
Jaylon Johnson,Chicago Bears,W7,55.544084445646334
Baker Mayfield,Chicago Bears,W7,44.279864639513185
Mike Evans,Chicago Bears,W7,52.160503725311166
Chris Godwin,Tampa Bay Buccaneers,W7,32.381031562481866
Antoine Winfield Jr,Tampa Bay Buccaneers,W7,39.44857168457479
Vita Vea,Tampa Bay Buccaneers,W7,66.31000238251511
Sam Darnold,Tampa Bay Buccaneers,W7,37.139348930045045
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W7,46.81708066500906
Tariq Woolen,Seattle Seahawks,W7,36.89381075684094
Kenneth Walker III,Seattle Seahawks,W7,16.25055271152868
Devon Witherspoon,Seattle Seahawks,W7,38.01019002294013
Dak Prescott,Seattle Seahawks,W7,51.560546412658304
CeeDee Lamb,Seattle Seahawks,W7,51.588813971628134
Javonte Williams,Dallas Cowboys,W7,72.43768931212746
George Pickens,Dallas Cowboys,W7,67.35471611632147
Drake Maye,Dallas Cowboys,W7,81.6853340935315
TreVeyon Henderson,Dallas Cowboys,W7,51.62173568256674
Stefon Diggs,Dallas Cowboys,W7,80.46080239481417
Christian Gonzalez,New England Patriots,W7,78.45003367734934
Kayshon Boutte,New England Patriots,W7,65.57535917949032
Quinnen Williams,New England Patriots,W7,55.58816974588058
Chris Jones,New England Patriots,W7,79.25469043516324
Trent McDuffie,New England Patriots,W7,63.88807857791885
Jalen Hurts,Philadelphia Eagles,W8,30.742288269373145
Saquon Barkley,Philadelphia Eagles,W8,46.141538086101335
AJ Brown,Philadelphia Eagles,W8,26.4217952476892
Quinyon Mitchell,Philadelphia Eagles,W8,29.33870106834933
Zack Baun,Philadelphia Eagles,W8,15.95579369344178
Josh Allen,Buffalo Bills,W8,29.246222788068366
James Cook,Buffalo Bills,W8,53.07675288402322
Dalton Kincaid,Buffalo Bills,W8,34.10908533229178
Matt Milano,Buffalo Bills,W8,40.31769416210247
Greg Rousseau,Buffalo Bills,W8,41.53313936537202
Joe Burrow,Cincinnati Bengals,W8,9.219106684465219
JaMarr Chase,Cincinnati Bengals,W8,10.45370013016086
Tee Higgins,Cincinnati Bengals,W8,26.73208701352341
Trey Hendrickson,Cincinnati Bengals,W8,15.631166559312355
Evan McPherson,Cincinnati Bengals,W8,31.36218173785334
Daniel Jones,Indianapolis Colts,W8,59.7847286257838
Jonathan Taylor,Indianapolis Colts,W8,52.66392574636541
Michael Pittman Jr,Indianapolis Colts,W8,69.39818457789863
Quenton Nelson,Indianapolis Colts,W8,73.26620332257451
Laiatu Latu,Indianapolis Colts,W8,53.444201189504156
Patrick Mahomes,Kansas City Chiefs,W8,56.48130388176938
Travis Kelce,Kansas City Chiefs,W8,82.87265948192402
Xavier Worthy,Kansas City Chiefs,W8,56.93223545165159
Caleb Williams,Kansas City Chiefs,W8,44.772266909467696
DJ Moore,Kansas City Chiefs,W8,36.35664000583819
Keenan Allen,Chicago Bears,W8,35.51493195441952
Rome Odunze,Chicago Bears,W8,30.514107885299147
Jaylon Johnson,Chicago Bears,W8,29.235366597375823
Baker Mayfield,Chicago Bears,W8,46.16801740329046
Mike Evans,Chicago Bears,W8,18.466935098286896
Chris Godwin,Tampa Bay Buccaneers,W8,42.383741870809644
Antoine Winfield Jr,Tampa Bay Buccaneers,W8,26.825640713860295
Vita Vea,Tampa Bay Buccaneers,W8,40.67132142121619
Sam Darnold,Tampa Bay Buccaneers,W8,48.5905872174129
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W8,56.1166971080234
Tariq Woolen,Seattle Seahawks,W8,53.119633957829365
Kenneth Walker III,Seattle Seahawks,W8,55.720001676059006
Devon Witherspoon,Seattle Seahawks,W8,53.30989052809429
Dak Prescott,Seattle Seahawks,W8,45.72357827427886
CeeDee Lamb,Seattle Seahawks,W8,54.10177668573849
Javonte Williams,Dallas Cowboys,W8,75.33724192476159
George Pickens,Dallas Cowboys,W8,58.805967855381084
Drake Maye,Dallas Cowboys,W8,71.80745818786008
TreVeyon Henderson,Dallas Cowboys,W8,73.18853790722783
Stefon Diggs,Dallas Cowboys,W8,75.93953061695149
Christian Gonzalez,New England Patriots,W8,75.75777401345114
Kayshon Boutte,New England Patriots,W8,88.89310886120106
Quinnen Williams,New England Patriots,W8,59.48362118440741
Chris Jones,New England Patriots,W8,62.265469329499965
Trent McDuffie,New England Patriots,W8,61.19581891402065
Jalen Hurts,Philadelphia Eagles,W9,48.45777809135199
Saquon Barkley,Philadelphia Eagles,W9,52.26178419586528
AJ Brown,Philadelphia Eagles,W9,50.10444408313299
Quinyon Mitchell,Philadelphia Eagles,W9,56.1555269691309
Zack Baun,Philadelphia Eagles,W9,55.98943001649685
Josh Allen,Buffalo Bills,W9,36.13065129298457
James Cook,Buffalo Bills,W9,64.01282692150532
Dalton Kincaid,Buffalo Bills,W9,79.85627255422948
Matt Milano,Buffalo Bills,W9,51.09090660520948
Greg Rousseau,Buffalo Bills,W9,65.18803872801728
Joe Burrow,Cincinnati Bengals,W9,52.15524420026522
JaMarr Chase,Cincinnati Bengals,W9,32.13771759815057
Tee Higgins,Cincinnati Bengals,W9,52.66130676149205
Trey Hendrickson,Cincinnati Bengals,W9,43.8384764163033
Evan McPherson,Cincinnati Bengals,W9,50.89316872434351
Daniel Jones,Indianapolis Colts,W9,36.593237564101344
Jonathan Taylor,Indianapolis Colts,W9,46.96696471853763
Michael Pittman Jr,Indianapolis Colts,W9,61.894241317356375
Quenton Nelson,Indianapolis Colts,W9,60.52140932611084
Laiatu Latu,Indianapolis Colts,W9,67.77329594226508
Patrick Mahomes,Kansas City Chiefs,W9,51.52651252478676
Travis Kelce,Kansas City Chiefs,W9,68.71296152647855
Xavier Worthy,Kansas City Chiefs,W9,59.21125743343175
Caleb Williams,Kansas City Chiefs,W9,76.41338820874122
DJ Moore,Kansas City Chiefs,W9,83.2580767417792
Keenan Allen,Chicago Bears,W9,57.99828660019942
Rome Odunze,Chicago Bears,W9,40.59096592717644
Jaylon Johnson,Chicago Bears,W9,30.557591573849525
Baker Mayfield,Chicago Bears,W9,51.078540371464555
Mike Evans,Chicago Bears,W9,45.20748472579632
Chris Godwin,Tampa Bay Buccaneers,W9,51.65071155084918
Antoine Winfield Jr,Tampa Bay Buccaneers,W9,52.20976100324485
Vita Vea,Tampa Bay Buccaneers,W9,53.21314353472225
Sam Darnold,Tampa Bay Buccaneers,W9,79.07119170118517
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W9,76.08334314544211
Tariq Woolen,Seattle Seahawks,W9,66.74867658357105
Kenneth Walker III,Seattle Seahawks,W9,85.43479768198883
Devon Witherspoon,Seattle Seahawks,W9,63.16669885991467
Dak Prescott,Seattle Seahawks,W9,62.02445747251522
CeeDee Lamb,Seattle Seahawks,W9,53.233802564240385
Javonte Williams,Dallas Cowboys,W9,40.667576491385205
George Pickens,Dallas Cowboys,W9,28.343107686063412
Drake Maye,Dallas Cowboys,W9,54.80147484081811
TreVeyon Henderson,Dallas Cowboys,W9,42.682634196322184
Stefon Diggs,Dallas Cowboys,W9,48.33665745934188
Christian Gonzalez,New England Patriots,W9,64.45334847700313
Kayshon Boutte,New England Patriots,W9,55.56680436305763
Quinnen Williams,New England Patriots,W9,70.77012364998966
Chris Jones,New England Patriots,W9,50.961043793051964
Trent McDuffie,New England Patriots,W9,49.89139337757264
Jalen Hurts,Philadelphia Eagles,W10,69.89742283854662
Saquon Barkley,Philadelphia Eagles,W10,79.77213638482208
AJ Brown,Philadelphia Eagles,W10,61.53453157483477
Quinyon Mitchell,Philadelphia Eagles,W10,77.34351026964059
Zack Baun,Philadelphia Eagles,W10,81.63546280033832
Josh Allen,Buffalo Bills,W10,54.336383447981234
James Cook,Buffalo Bills,W10,52.010171272013665
Dalton Kincaid,Buffalo Bills,W10,51.70348927360192
Matt Milano,Buffalo Bills,W10,32.61246081742774
Greg Rousseau,Buffalo Bills,W10,62.51678511575534
Joe Burrow,Cincinnati Bengals,W10,27.393290623283562
JaMarr Chase,Cincinnati Bengals,W10,26.958490338454148
Tee Higgins,Cincinnati Bengals,W10,32.99298662143411
Trey Hendrickson,Cincinnati Bengals,W10,28.61990786966161
Evan McPherson,Cincinnati Bengals,W10,40.98571911208958
Daniel Jones,Indianapolis Colts,W10,81.06122464800939
Jonathan Taylor,Indianapolis Colts,W10,91.34672063694626
Michael Pittman Jr,Indianapolis Colts,W10,65.04987050376057
